# z   15.0  15.5  16.0  16.5  17.0  17.5  18.0  18.5  19.0  19.5  20.0  20.5  21.0  21.5  22.0  22.5  23.0  23.5  24.0  24.5  25.0  25.5  26.0  26.5  27.0  27.5  28.0  28.5  29.0  29.5  30.0
1.200e-01 4.019e-03 4.019e-03 4.019e-03 4.019e-03 4.019e-03 4.019e-03 4.019e-03 4.019e-03 4.019e-03 4.019e-03 4.019e-03 4.664e-03 5.424e-03 6.303e-03 7.529e-03 8.979e-03 1.074e-02 1.330e-02 1.708e-02 2.427e-02 3.881e-02 6.483e-02 9.449e-02 1.150e-01 1.142e-01 1.058e-01 1.058e-01 1.058e-01 1.058e-01 1.058e-01 1.058e-01
1.300e-01 4.310e-03 4.310e-03 4.310e-03 4.310e-03 4.310e-03 4.310e-03 4.310e-03 4.310e-03 4.310e-03 4.310e-03 4.310e-03 4.999e-03 5.811e-03 6.753e-03 8.068e-03 9.626e-03 1.153e-02 1.428e-02 1.834e-02 2.605e-02 4.167e-02 6.967e-02 1.018e-01 1.241e-01 1.235e-01 1.145e-01 1.145e-01 1.145e-01 1.145e-01 1.145e-01 1.145e-01
1.400e-01 4.597e-03 4.597e-03 4.597e-03 4.597e-03 4.597e-03 4.597e-03 4.597e-03 4.597e-03 4.597e-03 4.597e-03 4.597e-03 5.329e-03 6.193e-03 7.196e-03 8.599e-03 1.026e-02 1.230e-02 1.524e-02 1.957e-02 2.781e-02 4.449e-02 7.444e-02 1.089e-01 1.331e-01 1.327e-01 1.232e-01 1.232e-01 1.232e-01 1.232e-01 1.232e-01 1.232e-01
1.500e-01 4.881e-03 4.881e-03 4.881e-03 4.881e-03 4.881e-03 4.881e-03 4.881e-03 4.881e-03 4.881e-03 4.881e-03 4.881e-03 5.655e-03 6.569e-03 7.633e-03 9.121e-03 1.089e-02 1.306e-02 1.618e-02 2.078e-02 2.953e-02 4.726e-02 7.913e-02 1.160e-01 1.421e-01 1.419e-01 1.319e-01 1.319e-01 1.319e-01 1.319e-01 1.319e-01 1.319e-01
1.600e-01 5.162e-03 5.162e-03 5.162e-03 5.162e-03 5.162e-03 5.162e-03 5.162e-03 5.162e-03 5.162e-03 5.162e-03 5.162e-03 5.977e-03 6.941e-03 8.063e-03 9.636e-03 1.151e-02 1.381e-02 1.711e-02 2.198e-02 3.123e-02 4.998e-02 8.373e-02 1.230e-01 1.509e-01 1.510e-01 1.406e-01 1.406e-01 1.406e-01 1.406e-01 1.406e-01 1.406e-01
1.700e-01 5.439e-03 5.439e-03 5.439e-03 5.439e-03 5.439e-03 5.439e-03 5.439e-03 5.439e-03 5.439e-03 5.439e-03 5.439e-03 6.295e-03 7.307e-03 8.487e-03 1.014e-02 1.212e-02 1.454e-02 1.803e-02 2.315e-02 3.290e-02 5.265e-02 8.826e-02 1.299e-01 1.597e-01 1.601e-01 1.492e-01 1.492e-01 1.492e-01 1.492e-01 1.492e-01 1.492e-01
1.800e-01 5.714e-03 5.714e-03 5.714e-03 5.714e-03 5.714e-03 5.714e-03 5.714e-03 5.714e-03 5.714e-03 5.714e-03 5.714e-03 6.610e-03 7.669e-03 8.906e-03 1.064e-02 1.272e-02 1.527e-02 1.893e-02 2.431e-02 3.455e-02 5.528e-02 9.272e-02 1.367e-01 1.684e-01 1.692e-01 1.578e-01 1.578e-01 1.578e-01 1.578e-01 1.578e-01 1.578e-01
1.900e-01 5.986e-03 5.986e-03 5.986e-03 5.986e-03 5.986e-03 5.986e-03 5.986e-03 5.986e-03 5.986e-03 5.986e-03 5.986e-03 6.921e-03 8.027e-03 9.320e-03 1.114e-02 1.331e-02 1.599e-02 1.982e-02 2.545e-02 3.617e-02 5.787e-02 9.710e-02 1.433e-01 1.769e-01 1.781e-01 1.664e-01 1.664e-01 1.664e-01 1.664e-01 1.664e-01 1.664e-01
2.000e-01 6.256e-03 6.256e-03 6.256e-03 6.256e-03 6.256e-03 6.256e-03 6.256e-03 6.256e-03 6.256e-03 6.256e-03 6.256e-03 7.228e-03 8.380e-03 9.728e-03 1.163e-02 1.390e-02 1.669e-02 2.070e-02 2.658e-02 3.776e-02 6.042e-02 1.014e-01 1.499e-01 1.854e-01 1.870e-01 1.749e-01 1.749e-01 1.749e-01 1.749e-01 1.749e-01 1.749e-01
2.100e-01 6.523e-03 6.523e-03 6.523e-03 6.523e-03 6.523e-03 6.523e-03 6.523e-03 6.523e-03 6.523e-03 6.523e-03 6.523e-03 7.533e-03 8.730e-03 1.013e-02 1.211e-02 1.447e-02 1.739e-02 2.156e-02 2.768e-02 3.933e-02 6.292e-02 1.056e-01 1.564e-01 1.938e-01 1.958e-01 1.835e-01 1.835e-01 1.835e-01 1.835e-01 1.835e-01 1.835e-01
2.200e-01 6.788e-03 6.788e-03 6.788e-03 6.788e-03 6.788e-03 6.788e-03 6.788e-03 6.788e-03 6.788e-03 6.788e-03 6.788e-03 7.835e-03 9.075e-03 1.053e-02 1.258e-02 1.504e-02 1.808e-02 2.242e-02 2.878e-02 4.088e-02 6.538e-02 1.098e-01 1.628e-01 2.020e-01 2.046e-01 1.919e-01 1.919e-01 1.919e-01 1.919e-01 1.919e-01 1.919e-01
2.300e-01 7.051e-03 7.051e-03 7.051e-03 7.051e-03 7.051e-03 7.051e-03 7.051e-03 7.051e-03 7.051e-03 7.051e-03 7.051e-03 8.133e-03 9.418e-03 1.092e-02 1.305e-02 1.560e-02 1.876e-02 2.326e-02 2.986e-02 4.241e-02 6.780e-02 1.139e-01 1.691e-01 2.102e-01 2.133e-01 2.004e-01 2.004e-01 2.004e-01 2.004e-01 2.004e-01 2.004e-01
